theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
technology,เทคโนโลยี,📱,32,app,/æp/,แอป,📲,แอป ตรงตัว,n.,Download the app.,ดาวน์โหลดแอป,6
technology,เทคโนโลยี,📱,32,screen,/skriːn/,หน้าจอ,🖥️,สกรีน = หน้าจอ,n.,The screen is bright.,หน้าจอสว่าง,7
technology,เทคโนโลยี,📱,32,camera,/ˈkæmərə/,กล้อง,📷,คาเมร่า = กล้อง,n.,Turn on the camera.,เปิดกล้อง,8
technology,เทคโนโลยี,📱,32,battery,/ˈbætəri/,แบตเตอรี่,🔋,แบตเตอรี่ ตรงตัว,n.,The battery is low.,แบตใกล้หมด,9
technology,เทคโนโลยี,📱,32,charger,/ˈtʃɑːrdʒər/,ที่ชาร์จ,🔌,charge + r = ที่ชาร์จ,n.,Where is my charger?,ที่ชาร์จอยู่ไหน,10
technology,เทคโนโลยี,📱,32,keyboard,/ˈkiːbɔːrd/,คีย์บอร์ด,⌨️,key + board = แป้นพิมพ์,n.,Use the keyboard.,ใช้คีย์บอร์ด,11
technology,เทคโนโลยี,📱,32,mouse,/maʊs/,เมาส์,🖱️,เมาส์ (แปลว่าหนู),n.,Click with the mouse.,คลิกด้วยเมาส์,12
technology,เทคโนโลยี,📱,32,website,/ˈwebsaɪt/,เว็บไซต์,🌐,web + site = เว็บไซต์,n.,Visit the website.,เข้าเว็บไซต์,13
technology,เทคโนโลยี,📱,32,message,/ˈmesɪdʒ/,ข้อความ,💬,เมสเสจ = ข้อความ,n.,Send a message.,ส่งข้อความ,14
money,เงินและธนาคาร,🏦,33,money,/ˈmʌni/,เงิน,💰,มันนี่ = เงิน,n.,I have no money.,ฉันไม่มีเงิน,1
money,เงินและธนาคาร,🏦,33,coin,/kɔɪn/,เหรียญ,🪙,คอยน์ = เหรียญ,n.,A gold coin.,เหรียญทอง,2
money,เงินและธนาคาร,🏦,33,banknote,/ˈbæŋknoʊt/,ธนบัตร,💴,bank + note = แบงก์,n.,A 100-baht banknote.,ธนบัตรร้อยบาท,3
money,เงินและธนาคาร,🏦,33,ATM,/ˌeɪtiːˈem/,ตู้เอทีเอ็ม,🏧,เอทีเอ็ม ตรงตัว,n.,Find an ATM.,หาตู้เอทีเอ็ม,4
money,เงินและธนาคาร,🏦,33,salary,/ˈsæləri/,เงินเดือน,💵,แซลารี่ = เงินเดือน,n.,A good salary.,เงินเดือนดี,5
money,เงินและธนาคาร,🏦,33,wallet,/ˈwɒlɪt/,กระเป๋าเงิน,👛,วอลเล็ต = กระเป๋าตังค์,n.,I lost my wallet.,ฉันทำกระเป๋าเงินหาย,6
money,เงินและธนาคาร,🏦,33,save,/seɪv/,เก็บออม,🐖,เซฟ = ออมเงิน,v.,I save money.,ฉันเก็บเงิน,7
money,เงินและธนาคาร,🏦,33,spend,/spend/,ใช้จ่าย,💸,สเปนด์ = จ่าย,v.,Don’t spend too much.,อย่าใช้เงินเยอะ,8
money,เงินและธนาคาร,🏦,33,rich,/rɪtʃ/,รวย,🤑,ริช = รวย,adj.,He is rich.,เขารวย,9
money,เงินและธนาคาร,🏦,33,poor,/pʊr/,จน,😔,พัวร์ = จน,adj.,They are poor.,พวกเขาจน,10
money,เงินและธนาคาร,🏦,33,exchange,/ɪksˈtʃeɪndʒ/,แลกเงิน,💱,เอ็กซ์เชนจ์ = แลก,v.,Exchange money here.,แลกเงินที่นี่,11
money,เงินและธนาคาร,🏦,33,credit,/ˈkredɪt/,เครดิต,💳,เครดิต ตรงตัว,n.,Pay by credit card.,จ่ายด้วยบัตรเครดิต,12
money,เงินและธนาคาร,🏦,33,tip,/tɪp/,เงินทิป,🪙,ทิป ตรงตัว,n.,Leave a tip.,ให้ทิป,13
money,เงินและธนาคาร,🏦,33,account,/əˈkaʊnt/,บัญชี,🧾,แอคเคานต์ = บัญชี,n.,Open an account.,เปิดบัญชี,14
nature,ธรรมชาติและทะเล,🏖️,34,sea,/siː/,ทะเล,🌊,ซี = ทะเล,n.,The sea is blue.,ทะเลสีฟ้า,1
nature,ธรรมชาติและทะเล,🏖️,34,beach,/biːtʃ/,ชายหาด,🏖️,บีช = หาด,n.,Relax on the beach.,พักผ่อนที่ชายหาด,2
nature,ธรรมชาติและทะเล,🏖️,34,mountain,/ˈmaʊntən/,ภูเขา,⛰️,เมาน์เทน = ภูเขา,n.,Climb the mountain.,ปีนภูเขา,3
nature,ธรรมชาติและทะเล,🏖️,34,river,/ˈrɪvər/,แม่น้ำ,🏞️,ริเวอร์ = แม่น้ำ,n.,Swim in the river.,ว่ายน้ำในแม่น้ำ,4
nature,ธรรมชาติและทะเล,🏖️,34,forest,/ˈfɒrɪst/,ป่า,🌲,ฟอเรสต์ = ป่า,n.,A green forest.,ป่าเขียว,5
nature,ธรรมชาติและทะเล,🏖️,34,island,/ˈaɪlənd/,เกาะ,🏝️,ไอแลนด์ (s เงียบ),n.,A small island.,เกาะเล็ก ๆ,6
nature,ธรรมชาติและทะเล,🏖️,34,sky,/skaɪ/,ท้องฟ้า,🌤️,สกาย = ท้องฟ้า,n.,The sky is clear.,ท้องฟ้าแจ่มใส,7
nature,ธรรมชาติและทะเล,🏖️,34,moon,/muːn/,พระจันทร์,🌙,มูน = พระจันทร์,n.,Look at the moon.,ดูพระจันทร์,8
nature,ธรรมชาติและทะเล,🏖️,34,star,/stɑːr/,ดาว,⭐,สตาร์ = ดาว,n.,A bright star.,ดาวสว่าง,9
nature,ธรรมชาติและทะเล,🏖️,34,tree,/triː/,ต้นไม้,🌳,ทรี = ต้นไม้,n.,A big tree.,ต้นไม้ใหญ่,10
nature,ธรรมชาติและทะเล,🏖️,34,flower,/ˈflaʊər/,ดอกไม้,🌸,ฟลาวเวอร์ = ดอกไม้,n.,A pretty flower.,ดอกไม้สวย,11
nature,ธรรมชาติและทะเล,🏖️,34,wave,/weɪv/,คลื่น,🌊,เวฟ = คลื่น,n.,A big wave.,คลื่นใหญ่,12
nature,ธรรมชาติและทะเล,🏖️,34,sand,/sænd/,ทราย,🏜️,แซนด์ = ทราย,n.,Soft sand.,ทรายนุ่ม,13
nature,ธรรมชาติและทะเล,🏖️,34,lake,/leɪk/,ทะเลสาบ,🏞️,เลค = ทะเลสาบ,n.,A calm lake.,ทะเลสาบเงียบสงบ,14
questions,คำถามที่ใช้บ่อย,❓,35,what,/wɒt/,อะไร,❓,ว็อท = อะไร,pron.,What is this?,นี่คืออะไร,1
questions,คำถามที่ใช้บ่อย,❓,35,where,/wer/,ที่ไหน,📍,แวร์ = ที่ไหน,adv.,Where are you?,คุณอยู่ที่ไหน,2
questions,คำถามที่ใช้บ่อย,❓,35,when,/wen/,เมื่อไหร่,⏰,เว็น = เมื่อไหร่,adv.,When do we start?,เริ่มเมื่อไหร่,3
questions,คำถามที่ใช้บ่อย,❓,35,who,/huː/,ใคร,🧑,ฮู = ใคร,pron.,Who is that?,นั่นใคร,4
questions,คำถามที่ใช้บ่อย,❓,35,why,/waɪ/,ทำไม,🤔,วาย = ทำไม,adv.,Why not?,ทำไมล่ะ,5
questions,คำถามที่ใช้บ่อย,❓,35,how,/haʊ/,อย่างไร,🛠️,ฮาว = ยังไง,adv.,How does it work?,มันทำงานยังไง,6
questions,คำถามที่ใช้บ่อย,❓,35,how much,/haʊ mʌtʃ/,ราคาเท่าไร,💰,how + much = เท่าไร,phr.,How much is it?,ราคาเท่าไร,7
questions,คำถามที่ใช้บ่อย,❓,35,how many,/haʊ ˈmeni/,กี่อัน,🔢,how + many = กี่ชิ้น,phr.,How many do you want?,เอากี่อัน,8
questions,คำถามที่ใช้บ่อย,❓,35,which,/wɪtʃ/,อันไหน,🔀,วิช = อันไหน,pron.,Which one?,อันไหน,9
questions,คำถามที่ใช้บ่อย,❓,35,can,/kæn/,สามารถ,🙋,แคน = ทำได้,v.,Can you help me?,ช่วยฉันได้ไหม,10
questions,คำถามที่ใช้บ่อย,❓,35,want,/wɒnt/,ต้องการ,🙏,ว็อนท์ = อยากได้,v.,I want this.,ฉันอยากได้อันนี้,11
questions,คำถามที่ใช้บ่อย,❓,35,need,/niːd/,จำเป็น,❗,นีด = ต้องการ,v.,I need help.,ฉันต้องการความช่วยเหลือ,12
questions,คำถามที่ใช้บ่อย,❓,35,do,/duː/,ทำ,✅,ดู = ทำ,v.,What do you do?,คุณทำงานอะไร,13
questions,คำถามที่ใช้บ่อย,❓,35,will,/wɪl/,จะ (อนาคต),🔮,วิล = จะ,v.,I will call you.,ฉันจะโทรหาคุณ,14
furniture,เฟอร์นิเจอร์,🛋️,36,sofa,/ˈsoʊfə/,โซฟา,🛋️,โซฟา ตรงตัว,n.,Sit on the sofa.,นั่งบนโซฟา,1
furniture,เฟอร์นิเจอร์,🛋️,36,lamp,/læmp/,โคมไฟ,💡,แลมป์ = โคมไฟ,n.,Turn on the lamp.,เปิดโคมไฟ,2
furniture,เฟอร์นิเจอร์,🛋️,36,mirror,/ˈmɪrər/,กระจกเงา,🪞,มิเรอร์ = กระจก,n.,Look in the mirror.,ส่องกระจก,3
furniture,เฟอร์นิเจอร์,🛋️,36,shelf,/ʃelf/,ชั้นวางของ,🗄️,เชลฟ์ = ชั้นวาง,n.,Put it on the shelf.,วางบนชั้น,4
furniture,เฟอร์นิเจอร์,🛋️,36,curtain,/ˈkɜːrtn/,ผ้าม่าน,🪟,เคอร์เทน = ม่าน,n.,Open the curtain.,เปิดผ้าม่าน,5
furniture,เฟอร์นิเจอร์,🛋️,36,carpet,/ˈkɑːrpɪt/,พรม,🧶,คาร์เพ็ต = พรม,n.,A soft carpet.,พรมนุ่ม,6
furniture,เฟอร์นิเจอร์,🛋️,36,pillow,/ˈpɪloʊ/,หมอน,🛏️,พิลโล่ = หมอน,n.,A soft pillow.,หมอนนุ่ม,7
furniture,เฟอร์นิเจอร์,🛋️,36,drawer,/drɔːr/,ลิ้นชัก,🗄️,ดรอเออร์ = ลิ้นชัก,n.,Open the drawer.,เปิดลิ้นชัก,8
furniture,เฟอร์นิเจอร์,🛋️,36,sink,/sɪŋk/,อ่างล้าง,🚰,ซิงค์ = อ่างล้าง,n.,Wash it in the sink.,ล้างในอ่าง,9
furniture,เฟอร์นิเจอร์,🛋️,36,toilet,/ˈtɔɪlət/,ชักโครก,🚽,ทอยเล็ต = ส้วม,n.,Where is the toilet?,ห้องน้ำอยู่ไหน,10
furniture,เฟอร์นิเจอร์,🛋️,36,stairs,/sterz/,บันได,🪜,สแตร์ส = บันได,n.,Use the stairs.,ใช้บันได,11
furniture,เฟอร์นิเจอร์,🛋️,36,closet,/ˈklɒzɪt/,ตู้เสื้อผ้า,🚪,คลอเซ็ต = ตู้เสื้อผ้า,n.,Clothes in the closet.,เสื้อผ้าในตู้,12
furniture,เฟอร์นิเจอร์,🛋️,36,bathtub,/ˈbæθtʌb/,อ่างอาบน้ำ,🛁,bath + tub = อ่างอาบน้ำ,n.,Fill the bathtub.,เติมน้ำในอ่างอาบน้ำ,13
furniture,เฟอร์นิเจอร์,🛋️,36,cupboard,/ˈkʌbərd/,ตู้ถ้วยชาม,🗄️,คับเบิร์ด = ตู้เก็บของ,n.,Cups in the cupboard.,ถ้วยในตู้,14
cooking,คำกริยาทำอาหาร,🍳,37,cook,/kʊk/,ทำอาหาร,🍳,คุก = ทำอาหาร,v.,He is a good cook.,เขาเป็นพ่อครัวที่ดี,1
cooking,คำกริยาทำอาหาร,🍳,37,cut,/kʌt/,ตัด/หั่น,🔪,คัท = ตัด,v.,Cut the vegetables.,หั่นผัก,2
cooking,คำกริยาทำอาหาร,🍳,37,fry,/fraɪ/,ทอด,🍳,ฟราย = ทอด,v.,Fry the egg.,ทอดไข่,3
cooking,คำกริยาทำอาหาร,🍳,37,boil,/bɔɪl/,ต้ม,♨️,บอยล์ = ต้ม,v.,Boil the water.,ต้มน้ำ,4
cooking,คำกริยาทำอาหาร,🍳,37,bake,/beɪk/,อบ,🍞,เบก = อบ,v.,Bake a cake.,อบเค้ก,5
cooking,คำกริยาทำอาหาร,🍳,37,mix,/mɪks/,ผสม,🥣,มิกซ์ = ผสม,v.,Mix it well.,ผสมให้เข้ากัน,6
cooking,คำกริยาทำอาหาร,🍳,37,wash,/wɒʃ/,ล้าง,🚰,ว็อช = ล้าง,v.,Wash the rice.,ล้างข้าว,7
cooking,คำกริยาทำอาหาร,🍳,37,peel,/piːl/,ปอกเปลือก,🍌,พีล = ปอก,v.,Peel the banana.,ปอกกล้วย,8
cooking,คำกริยาทำอาหาร,🍳,37,pour,/pɔːr/,เท/ริน,🫗,พอร์ = เท,v.,Pour the milk.,เทนม,9
cooking,คำกริยาทำอาหาร,🍳,37,taste,/teɪst/,ชิม,😋,เทสต์ = ชิม,v.,Taste the soup.,ชิมซุป,10
cooking,คำกริยาทำอาหาร,🍳,37,add,/æd/,ใส่/เพิ่ม,➕,แอด = เพิ่ม,v.,Add some salt.,ใส่เกลือหน่อย,11
cooking,คำกริยาทำอาหาร,🍳,37,stir,/stɜːr/,คน/คนให้เข้ากัน,🥄,สเทอร์ = คน,v.,Stir the soup.,คนซุป,12
cooking,คำกริยาทำอาหาร,🍳,37,chop,/tʃɒp/,สับ,🔪,ช็อป = สับ,v.,Chop the onion.,สับหัวหอม,13
cooking,คำกริยาทำอาหาร,🍳,37,serve,/sɜːrv/,เสิร์ฟ,🍽️,เสิร์ฟ ตรงตัว,v.,Serve it hot.,เสิร์ฟตอนร้อน,14
drinks,เครื่องดื่ม,🥤,38,water,/ˈwɔːtər/,น้ำเปล่า,💧,วอเตอร์ = น้ำ,n.,Drink some water.,ดื่มน้ำ,1
drinks,เครื่องดื่ม,🥤,38,juice,/dʒuːs/,น้ำผลไม้,🧃,จูซ = น้ำผลไม้,n.,"Orange juice, please.",ขอน้ำส้ม,2
drinks,เครื่องดื่ม,🥤,38,soda,/ˈsoʊdə/,น้ำอัดลม,🥤,โซดา = น้ำอัดลม,n.,A cold soda.,น้ำอัดลมเย็น ๆ,3
drinks,เครื่องดื่ม,🥤,38,beer,/bɪr/,เบียร์,🍺,เบียร์ ตรงตัว,n.,A cold beer.,เบียร์เย็น,4
drinks,เครื่องดื่ม,🥤,38,wine,/waɪn/,ไวน์,🍷,ไวน์ ตรงตัว,n.,A glass of wine.,ไวน์แก้วหนึ่ง,5
drinks,เครื่องดื่ม,🥤,38,smoothie,/ˈsmuːði/,สมูทตี้,🍹,สมูทตี้ ตรงตัว,n.,A mango smoothie.,สมูทตี้มะม่วง,6
drinks,เครื่องดื่ม,🥤,38,milkshake,/ˈmɪlkʃeɪk/,มิลค์เชค,🥤,milk + shake = ปั่นนม,n.,A chocolate milkshake.,มิลค์เชคช็อกโกแลต,7
drinks,เครื่องดื่ม,🥤,38,lemonade,/ˌleməˈneɪd/,น้ำมะนาว,🍋,lemon + ade = น้ำมะนาว,n.,Fresh lemonade.,น้ำมะนาวสด,8
drinks,เครื่องดื่ม,🥤,38,cola,/ˈkoʊlə/,โคล่า,🥤,โคล่า ตรงตัว,n.,A can of cola.,โคล่ากระป๋องหนึ่ง,9
drinks,เครื่องดื่ม,🥤,38,coconut water,/ˈkoʊkənʌt ˈwɔːtər/,น้ำมะพร้าว,🥥,coconut + water,n.,Cold coconut water.,น้ำมะพร้าวเย็น,10
drinks,เครื่องดื่ม,🥤,38,ice,/aɪs/,น้ำแข็ง,🧊,ไอซ์ = น้ำแข็ง,n.,Add some ice.,ใส่น้ำแข็งหน่อย,11
drinks,เครื่องดื่ม,🥤,38,soy milk,/sɔɪ mɪlk/,นมถั่วเหลือง,🥛,soy + milk = นมถั่ว,n.,A glass of soy milk.,นมถั่วเหลืองแก้วหนึ่ง,12
drinks,เครื่องดื่ม,🥤,38,hot chocolate,/hɒt ˈtʃɒklət/,ช็อกโกแลตร้อน,☕,hot + chocolate,n.,A warm hot chocolate.,ช็อกโกแลตร้อนอุ่น ๆ,13
drinks,เครื่องดื่ม,🥤,38,iced tea,/aɪst tiː/,ชาเย็น,🧋,iced + tea = ชาเย็น,n.,Sweet iced tea.,ชาเย็นหวาน,14
